Genus,SpeciesName,NumberOfHostPlant,WingSpanAverage,WingspanLow,WingspanHi
Chionodes,adamas,,8,7,9
Symmerista,albifrons,,20,18,22
Acronicta,afflicta,,20,20,20
Plagodis,alcoolaria,,30.5,26,35
,americana,,8,7,9
,amica,,8,7,9
,angulalis,,8,7,9
,angulosa,,8,7,9
,antennata,,8,7,9
,arthemis,,8,7,9
,atomaris,,8,7,9
,badia,,8,7,9
,beutenmuelleri,,8,7,9
,biguttata,,8,7,9
,biundata,,8,7,9
,calami,,8,7,9
,calanus,,8,7,9
,canadaria,,8,7,9
,chloris,,8,7,9
,citrinipennella,,8,7,9
,clemataria,,8,7,9
,confusa,,8,7,9
,cribrataria,,8,7,9
,crispata,,8,7,9
,cristifasciella,,8,7,9
,cryptolechiella,,8,7,9
,delphinii,,8,7,9
,deridens,,8,7,9
,directana,,8,7,9
,dispar,,8,7,9
,disstria,,8,7,9
,divisana,,8,7,9
,excaecata,,8,7,9
,expandens,,8,7,9
,fervidaria,,8,7,9
,fidelis,,8,7,9
,fitchella,,8,7,9
,formosella,,8,7,9
,fructetella,,8,7,9
,funeralis,,8,7,9
,fuscomaculella,,8,7,9
,geminata,,8,7,9
,georgica,,8,7,9
,georgiella,,8,7,9
,gibbosa,,8,7,9
,guttivitta,,8,7,9
,humilis,,8,7,9
,ilia,,8,7,9
,imperialis,,8,7,9
,impleta,,8,7,9
,increta,,8,7,9
,indetermina,,8,7,9
,io,,8,7,9
,ipomoeae,,8,7,9
,juvenalis,,8,7,9
,latifasciella,,8,7,9
,leucostigma,,8,7,9
,lignicolor,,8,7,9
,ligulella,,8,7,9
,limitata,,8,7,9
,lithospila,,8,7,9
,lobeliae,,8,7,9
,manteo,,8,7,9
,marthesia,,8,7,9
,melanella,,8,7,9
,minerea,,8,7,9
,ministra,,8,7,9
,miserulata,,8,7,9
,nasoni,,8,7,9
,obliqua,,8,7,9
,obliquata,,8,7,9
,osseella,,8,7,9
,ovata,,8,7,9
,pallida,,8,7,9
,pereyra,,8,7,9
,perlata,,8,7,9
,pervertens,,8,7,9
,pettitana,,8,7,9
,phylla,,8,7,9
,pithecium,,8,7,9
,polyphemus,,8,7,9
,pometaria,,8,7,9
,pyramidoides,,8,7,9
,quercicella,,8,7,9
,quernaria,,8,7,9
,reflexella,,8,7,9
,rosaceana,,8,7,9
,rubescens,,8,7,9
,rufimargo,,8,7,9
,schlaegeri,,8,7,9
,secta,,8,7,9
,semirufescens,,8,7,9
,senatoria,,8,7,9
,spinuloides,,8,7,9
,stimulea,,8,7,9
,tentoriferella,,8,7,9
,tephra,,8,7,9
,tessellaris,,8,7,9
,textula,,8,7,9
,tiliaria,,8,7,9
,unipunctata,,8,7,9
,velleda,,8,7,9
,virginiensis,,8,7,9
,xanthobasis,,8,7,9
